brand,model,year,color,bodyType,mileage_km,price_rub
Audi,A4,2020,#FFFFFF,Sedan,42000,2450000
Peugeot,308,2017,#D11A1A,Hatchback,99000,950000
Mercedes-Benz,E200,2017,#1B3A6B,Sedan,112000,2650000
Mazda,CX-5,2021,#0B0B0B,SUV,22000,3100000
Nissan,Qashqai,2020,#C0C0C0,SUV,40000,2200000
Volkswagen,Tiguan,2021,#D11A1A,SUV,25000,2950000
Lada,Vesta,2021,#1E7D32,Sedan,18500,1080000
BMW,X5,2018,#000000,SUV,95200,3150000
Hyundai,Solaris,2020,#FFFFFF,Sedan,33000,1180000
Toyota,Camry,2019,#C0C0C0,Sedan,67500,2080000
Kia,Rio,2019,#808080,Hatchback,59000,1020000
