brand,model,year,color,bodyType,mileage,price
BMW,X5,2018,чёрный,внедорожник,95000,3200000
Audi,A4,2020,белый,седан,42000,2400000
Toyota,Camry,2019,серебристый,седан,68000,2100000
Mercedes-Benz,E200,2017,синий,седан,110000,2700000
Volkswagen,Tiguan,2021,красный,внедорожник,25000,2900000
Kia,Rio,2019,серый,хэтчбек,58000,1050000
Hyundai,Solaris,2020,белый,седан,33000,1200000
Lada,Vesta,2021,зелёный,седан,18000,1100000
Skoda,Octavia,2018,чёрный,лифтбек,87000,1600000
Renault,Duster,2019,оранжевый,внедорожник,72000,1400000
Ford,Focus,2016,синий,хэтчбек,130000,850000
